id,text,span
18,""" Seoses liini avamisega saab esimest ja ilmselt viimast korda Virtsust Kuivastusse sõita trammiga , istekoht maksab 100 ja seisukoht 50 krooni , "" ütles autoklubi president Valmar Dreger , jättes targu mainimata , et Suure väina ületab tramm siiski parvlaeva pardal .","{'start': 218, 'end': 229, 'text': 'Suure väina', 'labels': ['LOC']}"
19,"Kuningas Tupou IV oli Vaikses ookeanis asuva saare absoluutne valitseja 41 aastat , mis teeb temast neljanda pikima valitsemisajaga monarhi maailmas .","{'start': 22, 'end': 38, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
20,ülemiste järve vett hakati kasutama juba 14. sajandil .,"{'start': 0, 'end': 14, 'text': 'ülemiste järve', 'labels': ['LOC']}"
21,"Seoses üleminekuperioodi lõppemisega , mis määratleti Venemaa ja Ukraina vahel 1992. aastal Jaltas sõlmitud kokkuleppes mõlema riigi sõjalaevastiku loomise printsiipidest Musta mere laevastiku baasil , peab Riigiduuma vajalikuks peatada selle laevastiku jagamine .","{'start': 171, 'end': 181, 'text': 'Musta mere', 'labels': ['LOC']}"
22,Enamik hukkunuid ja vigasaanuid pärines Vietnami kolmest rannikuprovintsist kummalgi pool Punase jõe suuet .,"{'start': 90, 'end': 100, 'text': 'Punase jõe', 'labels': ['LOC']}"
23,"Kaheksa USA F-117A hävitajat lendas Kuveiti ja neli B-52 pommitajat siirdus Guamist Vaikses ookeanis Suurbritannia õhubaasi Diego Garcias India ookeanis , et olla rünnakukaugusel Iraagist .","{'start': 84, 'end': 100, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
24,Meie Islandil viibimise viimane täispäev otsustati veeta Helesinises laguunis .,"{'start': 57, 'end': 77, 'text': 'Helesinises laguunis', 'labels': ['LOC']}"
25,Tema sõnul on tegemist Musta mere basseini äärsete riikide sõja- ja merevägede koostöö uue vormiga .,"{'start': 23, 'end': 33, 'text': 'Musta mere', 'labels': ['LOC']}"
26,"Nüüdse maavärina epitsenter asus rannikust ligi saja kilomeetri kaugusel Vaikses ookeanis ning selle magnituudiks Richteri skaalal hinnati 7,9 .","{'start': 73, 'end': 89, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
27,"Mir paks kukkuma Vaiksesse ookeani territooriumile , mille laius on 200 km ja pikkus 5000-6000 km .","{'start': 17, 'end': 34, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
28,Naturalistlikus loos käsitletakse ameerika jalaväerühma pingutusi jaapanlastest okupeeritud Vaikse ookeani väikesaare vallutamisel .,"{'start': 92, 'end': 106, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
29,140 tonni kaaluv objekt tuuakse orbiidilt alla ja uputatakse Vaiksesse ookeani Austraalia ja Tšiili vahelises piirkonnas .,"{'start': 61, 'end': 78, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
30,"Suitsiidid on muutunud maailmas väga tõsiseks probleemiks , nende arv kasvab pidevalt , kinnitas täna Maailma Tervishoiuorganisatsiooni ( WHO ) Vaikse ookeani lääneregiooni direktor Shigeru Omi .","{'start': 144, 'end': 158, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
31,"Vene uurijad leidsid möödunud nädalal Musta mere kohal plahvatanud ja alla kukkunud reisilennuki TU-154 vrakki uurides metallitükke , mis sarnanevad rakettide S200 osadele .","{'start': 38, 'end': 48, 'text': 'Musta mere', 'labels': ['LOC']}"
32,"Tšiili lükkas kolmapäeval tagasi küllakutse Vene kosmosekeskusse , mis juhib reedel kosmosejaam Miri laskumist Maa atmosfääri ja kukkumist Vaiksesse ookeani .","{'start': 139, 'end': 156, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
33,"Samas väidavad nii Lend kui ka Uustalu , et püsiühenduse rajamise järgselt on oht , et Saaremaa jääb ilma ka neist seal töötavaist spetsialistidest , kes peavad Suure väina ületamist tülikaks .","{'start': 161, 'end': 172, 'text': 'Suure väina', 'labels': ['LOC']}"
34,Vaikse ookeani laevastiku lennuk TU-104 kukkus alla 7. veebruaril 1981. aastal kohe pärast õhkutõusmist Puškini linna lennuväljalt .,"{'start': 0, 'end': 14, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
35,Rohelise järve sulgemine maksab 115 miljonit,"{'start': 0, 'end': 14, 'text': 'Rohelise järve', 'labels': ['LOC']}"
36,Mustale merele,"{'start': 0, 'end': 14, 'text': 'Mustale merele', 'labels': ['LOC']}"
37,"HOUSTON , 9. august ( EPLO ) - Kosmosesüstik Discovery hakkas kell 14.40 Eesti aja järgi Cooki saare kohalt Vaikse ookeani lõunaosast sisenema Maa atmosfääri .","{'start': 108, 'end': 122, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
38,"Ronides Fuji mäkke , supeldes Vaikses ookeanis , sõites rongis , millel pole juhti , vaadates blondide juuste ja sinisilmadega jaapanlasi , istudes rohelist teed juues rohumattidel , kandes keisrinnade kimonokomplekti ja paljudel muudel hetkedel mõtlesin tagasi päevale , mil arglikult oma dokumendid ülikooli kontorisse andsin .","{'start': 30, 'end': 46, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
39,"Must meri ei ole Eesti kriteeriumide järgi mitte lihtsalt soe , vaid kujutab endast suurt keeva veega täidetud vanni .","{'start': 0, 'end': 9, 'text': 'Must meri', 'labels': ['LOC']}"
40,Vaikne ookean vääris oma nime .,"{'start': 0, 'end': 13, 'text': 'Vaikne ookean', 'labels': ['LOC']}"
41,"Neimo vibutas sõrme – tema naine on venelanna , pärit Musta mere äärest või kurat teab kust , vahepeal tundus , et hoopis Vladivostokist , aga vahet pole .","{'start': 54, 'end': 64, 'text': 'Musta mere', 'labels': ['LOC']}"
42,"Uskumatu , Kreeka-Rooma kolooniad laiusid Mustast merest kuni Inglismaa rannikuni , kuid ei laienenud enam edasi teisele poole Taani väinasid , kus asus müütiliselt rikas viikingite saar Gotland - jumalate maa .","{'start': 42, 'end': 56, 'text': 'Mustast merest', 'labels': ['LOC']}"
43,Eesti kooliaktustel tihti lauldav “ Mu isamaa armas ” on sama populaarne ka Mikroneesia Liiduriikides Vaikse ookeani lääneosas .,"{'start': 102, 'end': 116, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
44,"Kindral Zahharov tegi hiljem vastuteene Justusele , pakkudes talle majakavahi kohta Musta mere saarel , mis asub 50 kilomeetrit Feodossiast eemal .","{'start': 84, 'end': 94, 'text': 'Musta mere', 'labels': ['LOC']}"
45,"Stabiilsust ja rahu on vaja kindlustada Balti merest Musta mereni ja Praha 2002. aasta NATO tippkohtumisel on vaja NATOt otsustavalt laiendada , meenusid mõtted USA presidendi kõnest .","{'start': 53, 'end': 65, 'text': 'Musta mereni', 'labels': ['LOC']}"
46,"Mäletan , et tõesti Eestis vajaliku kvalifikatsiooniga tuukreid ei olnud ja need toodi Mustalt merelt .","{'start': 87, 'end': 101, 'text': 'Mustalt merelt', 'labels': ['LOC']}"
47,Edaspidi võtsid ameeriklased kasutusele ka Mehhiko lahe ja Vaikse ookeani väikesaared .,"{'start': 59, 'end': 73, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
48,Moskva ambitsioonikaimaks ideeks on gaasijuhtme rajamine Ida-Siberi leiukohtadest Hiina ühe sadamani Kollase mere ääres .,"{'start': 101, 'end': 113, 'text': 'Kollase mere', 'labels': ['LOC']}"
49,"Need asusid 105 kilomeetri kaugusel Musta mere rannikust , Doonau suudmealale jääva Maosaare lähedal .","{'start': 36, 'end': 46, 'text': 'Musta mere', 'labels': ['LOC']}"
50,"NASA andmetel lähenes plutooniumikütusel töötav kaheastmeline kosmoselaev Maale kõige lähemale Vaikse ookeani lõunaosas , saavutades kõrguse 1160 kilomeetrit .","{'start': 95, 'end': 109, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
51,Väiksemad alles jäänud tükid peaksid kukkuma Vaiksesse ookeani .,"{'start': 45, 'end': 62, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
52,"Sillast on unistatud sellest ajast saadik , mil sai valmis ühendustee üle Väikese väina , seega rohkem kui sada aastat .","{'start': 74, 'end': 87, 'text': 'Väikese väina', 'labels': ['LOC']}"
53,"Kõige lähem võimalus on neile Must meri , kuid seal on tehnilised probleemid , ning järgmine pääs merele ongi Läänemeri , ” sõnas ta .","{'start': 30, 'end': 39, 'text': 'Must meri', 'labels': ['LOC']}"
54,"Kaspia Torujuhtme Konsortsiumisse kuuluvad firmad , nagu Chevron , Mobil , Lukoil ja Kasahhi riiklik naftakompanii , leppisid 1997 . aastal kokku 2 miljardi dollarilise torujuhtme ehitamises Kasahstanist Novorossiskisse Musta mere äärde .","{'start': 220, 'end': 230, 'text': 'Musta mere', 'labels': ['LOC']}"
55,"Eesti Ukraina saatkonna nõunik Lembit Luht rääkis Äripäevale , et temale teadaolevalt praegu Mustal merel regulaarseid laevaliine ei ole .","{'start': 93, 'end': 105, 'text': 'Mustal merel', 'labels': ['LOC']}"
56,Vene lennundus- ja kosmoseagentuuri peadirektor Juri Koptev nimetas orbitaaljaama Mir allatoomist ja Vaiksesse ookeani uputamist unikaalseks operatsiooniks .,"{'start': 101, 'end': 118, 'text': 'Vaiksesse ookeani', 'labels': ['LOC']}"
57,"Kui Praagalt kümme kilomeetrit mööda jõgesid soode vahel seigelda , siis võib jõuda Kalli jõe äärde , kus Konsa Toivo üksinda talu peab .","{'start': 84, 'end': 93, 'text': 'Kalli jõe', 'labels': ['LOC']}"
58,""" Kuna Väike väin on pinnastammiga kaheks jaotatud , on aastate jooksul väina kahte kunstlikku lahte kandunud palju meresetteid ja veevahetus on oluliselt aeglustunud , "" ütles Tuurmann .","{'start': 7, 'end': 17, 'text': 'Väike väin', 'labels': ['LOC']}"
59,See pidi kindlustama Venemaa sõltumatuse pärast Balti ja Musta mere sadamate kaotust .,"{'start': 57, 'end': 67, 'text': 'Musta mere', 'labels': ['LOC']}"
60,"Täna õhtul jõuab see õhukeeris Soome kohale , homme hääbub Valgel merel .","{'start': 59, 'end': 71, 'text': 'Valgel merel', 'labels': ['LOC']}"
61,Leedu piiri äärde Kura sääre rahvuspargist umbes 20 kilomeetri kaugusele on Venemaa kompanii Lukoil rajanud naftaplatvormi .,"{'start': 18, 'end': 28, 'text': 'Kura sääre', 'labels': ['LOC']}"
62,Enamik nendest paikneb Vaikse ookeani ümbruses .,"{'start': 23, 'end': 37, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
63,"Punasel merel uppus Egiptuse parvlaev , mille pardal oli esialgsetel andmetel 1272 reisijat ja 104 meeskonnaliiget .","{'start': 0, 'end': 13, 'text': 'Punasel merel', 'labels': ['LOC']}"
64,"Põhja-Korea uut tüüpi kaheastmeline ballistiline rakett startis esmaspäeval keskpäeva paiku , lendas üle Jaapani põhjaosa ja maandus Vaikses ookeanis .","{'start': 133, 'end': 149, 'text': 'Vaikses ookeanis', 'labels': ['LOC']}"
65,Ka Rohelise mandri asukatel on NBA tähtede loobudes tekkinud esikohalootus .,"{'start': 3, 'end': 18, 'text': 'Rohelise mandri', 'labels': ['LOC']}"
66,"Põhja- ja Lõuna-Korea torpeedokaatrid avasid eile teineteise aluste pihta tule , mis on esimene sõjaline intsident Kollases meres pärast 1950 . – 1953 . aasta Korea sõda .","{'start': 115, 'end': 129, 'text': 'Kollases meres', 'labels': ['LOC']}"
67,Elasime täpselt Vaikse ookeani ääres .,"{'start': 16, 'end': 30, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
68,Seal ähvardab kallastest välja tulvata paljudele lauludele ainet andnud Red ehk punane jõgi .,"{'start': 80, 'end': 91, 'text': 'punane jõgi', 'labels': ['LOC']}"
69,Tonga kuningriik asub Vaikse ookeani lõunaosas ja elanikke on seal sama palju kui Tartus 100 000.,"{'start': 22, 'end': 36, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
70,"Sihukest jama , et ma koodi kotile peale panen , ei tee ma enam iial , kinnitab Luule ja lubab hilisest tunnist hoolimata juba kell kaheksa hommikul Punase mere lainetes liuelda .","{'start': 149, 'end': 160, 'text': 'Punase mere', 'labels': ['LOC']}"
71,Grööni mere külmade vete kohal sündinud madalrõhkkond jõuab täna Valgele merele .,"{'start': 65, 'end': 79, 'text': 'Valgele merele', 'labels': ['LOC']}"
72,"- komisjoni 2. aprilli 1996. aasta määrus ( EÜ ) nr 589/96 , milles sätestatakse nõukogu määruse ( EMÜ ) 715/90 ( Aafrika , Kariibi mere ja Vaikse ookeani piirkonna riikidest või ülemeremaadest ja -territooriumidelt pärit põllumajandussaaduste töötlemisel saadud põllumajandustoodete ja teatavate kaupade suhtes kohaldatava korra kohta ) üksikasjalikud rakenduseeskirjad veise- ja vasikalihasektoris ,  15","{'start': 140, 'end': 154, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
73,"Šveitsi-Inglise õhupalluripaar seilas eile üle Kesk-Mehhiko , rõõmustades , et kuuepäevane reis üle Vaikse ookeani seljataha jäi , ja lootes , et õhupallil jätkub kütust lõpetada ümbermaailmareis peatusteta .","{'start': 100, 'end': 114, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
74,"Kolm Mehhiko kalurit , kes üheksa ja pool kuud triivisid paadiga Vaiksel ookeanil ja jõudsid imekombel elusana Marshalli saartele , võeti Majuros kangelastena vastu .","{'start': 65, 'end': 81, 'text': 'Vaiksel ookeanil', 'labels': ['LOC']}"
75,"Vaikse ookeani rannikul asuvas Chiapases on ametlikel andmetel surma saanud 121 inimest , kuid nädala jooksul kolmel korral piirkonda külastanud president Ernesto Zedillo sõnul kardetakse hukkunute arvu suurenemist , kuna hulk inimesi on tõenäoliselt jäänud mudalaviinide alla .","{'start': 0, 'end': 14, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
76,"Tegelikult pole Vaikne järv supelrand , aga seal on purre ikkagi .","{'start': 16, 'end': 27, 'text': 'Vaikne järv', 'labels': ['LOC']}"
77,"Võib arvata näiteks , et Vaikse ookeani ja Baltikumi vahelised kaubateed saavad 21. sajandil kõige tähtsamaks maailmas .","{'start': 25, 'end': 39, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
78,"komisjoni 31. juuli 1990. aasta määrus ( EMÜ ) nr 2245/90 ( millega sätestatakse Aafrika , Kariibi mere ja Vaikse ookeani piirkonna riikidest või ülemeremaadest ja -territooriumidelt pärit ning CN-koodide 0714 10 91 ja 0714 90 11 alla kuuluvate toodete impordikorra üksikasjalikud rakenduseeskirjad ,  14  viimati muudetud määrusega ( EÜ ) nr 1431/97  15  ) tuleks tunnistada kehtetuks ;","{'start': 107, 'end': 121, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
79,Nii näiteks on pöördepunkt Kura kurgu aluses kahe erineva keskjoone kujundamise meetodiga leitud punktidevahelise sirge keskel .,"{'start': 27, 'end': 37, 'text': 'Kura kurgu', 'labels': ['LOC']}"
80,"Et Riigi Teatajas ilmuvad tekstid oleksid võrreldavad ja selged ka kohanimede poolest , kas merealapiiride seaduses käsitletud Irbe väin on seesama , mis selles lepingus kannab nime Kura kurk , või on mõeldud erinevaid merealasid ?","{'start': 182, 'end': 191, 'text': 'Kura kurk', 'labels': ['LOC']}"
81,"Kokkukasvamine on toimunud pidevalt , sest saari ühendav tamm on seisanud Väikeses väinas vee läbivoolu , mistõttu tammi lähedale kuhjub setet ja vesi on sunnitud taanduma , lausus Väikese väina tammi uurimuse üks autoreid , mereinstituudi vanemteadur Ülo Suursaar .","{'start': 181, 'end': 194, 'text': 'Väikese väina', 'labels': ['LOC']}"
82,"Kuuekümnendail aastail asustati Läänemerre ka mitmeid teisi tuurlasi , kes oma koduvetes Mustas meres ja Kaspia meres pole vaatamata varude kahanemisele veel haruldaseks muutunud .","{'start': 89, 'end': 101, 'text': 'Mustas meres', 'labels': ['LOC']}"
83,"AS Tallinna Vesi peadirektor Enno Pere ütles , et praegu töötavad kohtusse antava materjaliga juristid , sest avaldusel millega vaidlustatakse ülemiste järve kaitseala aia mahavõtmine peab olema kindel seaduslik põhi .","{'start': 143, 'end': 157, 'text': 'ülemiste järve', 'labels': ['LOC']}"
84,Atmosfääri liikumishulga moment on eriti suur Vaikse ookeani pinnatemperatuuri positiivse anomaalia El Nino aastatel ja väike negatiivse anomaalia La Nina aastatel .,"{'start': 46, 'end': 60, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
