id,text,span
62,Tallinlased tahavad normaalsesse konditsiooni viia ka K50 mäe .,"{'start': 54, 'end': 61, 'text': 'K50 mäe', 'labels': ['LOC']}"
63,"FABA aktsionäre sundisid panka Hoiupangale müüma ressursside vähesusest tulenevad probleemid , ütles FABA panga juhatuse esimees Aleksei Sutškov BNS-le .","{'start': 101, 'end': 111, 'text': 'FABA panga', 'labels': ['LOC']}"
64,Enne müüki olid FABA panga osanikud viis juriidilist isikut eri tööstusharudest .,"{'start': 16, 'end': 26, 'text': 'FABA panga', 'labels': ['LOC']}"
65,Sealt kanti 2 miljonit dollarit tagasi PEP-i kontole ja 500 000 dollarit Abram Sheri firma kontole Soome KOP pangas .,"{'start': 105, 'end': 115, 'text': 'KOP pangas', 'labels': ['LOC']}"
66,"Salt Lake City : 8. detsember sprint , 9.-10. detsember tavaline etapp , 12. detsember ühisstart hüpped K120 mäelt .","{'start': 104, 'end': 114, 'text': 'K120 mäelt', 'labels': ['LOC']}"
67,"Kuigi Eesti Pank ei ole loobunud pankrotiasjast EVEA panga vastu , kinnitavad kommertspanga juhid Suurbritannia investeerimisfirma Siege PLC jätkuvat huvi taastada oma investeeringuga EVEA Panga tegevus .","{'start': 48, 'end': 58, 'text': 'EVEA panga', 'labels': ['LOC']}"
68,""" Merelaevanduse varem teistes pankades laiali olnud arvete koondamine Ühispanka on tunduvalt suurendanud bilansimahtu , "" ütles BNS-ile panga asepresident Ülo Suurkask .","{'start': 129, 'end': 142, 'text': 'BNS-ile panga', 'labels': ['LOC']}"
69,RMK randa hooldab tänavu Piirsalu metskond .,"{'start': 0, 'end': 9, 'text': 'RMK randa', 'labels': ['LOC']}"
70,"Naised saavad raha kasutamise ja kontrollimisega paremini hakkama kui mehed , selgus Inglismaal HBC panga korraldatud uurimuses .","{'start': 96, 'end': 105, 'text': 'HBC panga', 'labels': ['LOC']}"
71,"Võiks ju arvata , et siinmail , kus ühtegi meeste hüppemäge ei ole ega ilmselt lähiaastatel ka ei tule meeste MK-l ei toimu ainsatki võistlust K90 mägedelt , naiste Continental Cupil aga küll , peaks arendama naiste suusahüppeid , aga võta näpust .","{'start': 143, 'end': 155, 'text': 'K90 mägedelt', 'labels': ['LOC']}"
72,"Ta alustas treeningutsüklit kuu aega varem kui mullu ja on ka vormilt kuu aega ees , » lausus treenerist abikaasa Tatjana Jaanson , kes Po jõel naisteklassis Masters B esikoha sai .","{'start': 136, 'end': 143, 'text': 'Po jõel', 'labels': ['LOC']}"
73,USA esileedi Hillary Clinton koos oma mehe Billi ja tütre Chelseaga Li jõel kaunist loodust nautimas .,"{'start': 68, 'end': 75, 'text': 'Li jõel', 'labels': ['LOC']}"
74,"Po jões on veepind kaheksa meetrit madalamal oma normaalsest tasemest , teatab BBC .","{'start': 0, 'end': 7, 'text': 'Po jões', 'labels': ['LOC']}"
75,"Selle , kas EVEA panga pankroti väljakuulutamine oli õigustatud või mitte , otsustavad asjatundjad .","{'start': 12, 'end': 22, 'text': 'EVEA panga', 'labels': ['LOC']}"
76,"No kui eesti on põlis veneala , mis kuradi pärsat pole yhtki venekeelset kohanimetust , see vastu venemaal olles olen kyll Lai'a jõest yle ujunud .","{'start': 123, 'end': 134, 'text': ""Lai'a jõest"", 'labels': ['LOC']}"
77,"RZB prognoos Ühispanga 1997 . aasta kasumi suhtes on konservatiivsem ( 241 miljonit krooni ) , kuid erinevalt panga juhtkonnast prognoosib RZB panga põhitegevusalalt teenitava kasumi kasvu 1998 . aastal .","{'start': 139, 'end': 148, 'text': 'RZB panga', 'labels': ['LOC']}"
