id;fpath;sentence;remove_start;remove_end;removed;type;original_removetype;original_removetype_cast;short_sent;cons_score;ual;la
3021;Train/aja_luup200202_osa_2_ud211.conllu;Maxima on maksimaalne ! rõkkasid hollandlased imeilusal kevadiselt päikesepaistelisel laupäeval 02.02.02 .;46;104;imeilusal kevadiselt päikesepaistelisel laupäeval 02.02.02;free;yes;free;Maxima on maksimaalne ! rõkkasid hollandlased .;57.1;57.1;85.7
3022;Train/aja_pm19980926e_ud211.conllu;Täna valitseb Miguel A. Torres lausa veiniimpeeriumi , mis ulatub Katalooniast Californiasse Sonoma orgu ning Tsiilisse .;66;78;Katalooniast;free;yes;free;Täna valitseb Miguel A. Torres lausa veiniimpeeriumi , mis ulatub Californiasse Sonoma orgu ning Tsiilisse .;;;
3023;Train/aja_ml200247_osa_8_ud211.conllu;Kadrile oli juba enne Tartu Treffneri gümnaasiumi lõpetamist selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see tema rahutule hingele edaspidises elus piisavaid väljakutseid esitanud .;12;60;juba enne Tartu Treffneri gümnaasiumi lõpetamist;free;yes;free;Kadrile oli selge , et pelgalt mõnd teoreetilist laadi eriala õppides poleks see tema rahutule hingele edaspidises elus piisavaid väljakutseid esitanud .;95.5;95.5;100.0
3024;Train/aja_horisont2000_osa_2_ud211.conllu;Kui 1947. aastal äsja iseseisvunud Briti Indiat Indiaks ja Pakistaniks jagati , lootsid ka sikhid sinna vahele oma riiki , Khalistani , saada .;4;16;1947. aastal;free;yes;free;Kui äsja iseseisvunud Briti Indiat Indiaks ja Pakistaniks jagati , lootsid ka sikhid sinna vahele oma riiki , Khalistani , saada .;72.7;81.8;86.4
3025;Train/aja_ml200247_osa_2_ud211.conllu;Saaremaa Liha- ja Piimaühistu ostab maakonna piimatootjatele Kesko Agro Eesti ASi kaudu Ukrainast ja mujalt söödamaisi , et parandada lehmade piimaandi .;88;107;Ukrainast ja mujalt;free;yes;free;Saaremaa Liha- ja Piimaühistu ostab maakonna piimatootjatele Kesko Agro Eesti ASi kaudu söödamaisi , et parandada lehmade piimaandi .;89.5;89.5;89.5
3026;Train/aja_ee200110_osa_1_ud211.conllu;Mehest , kes , nagu hiljem selgus , kasutas valenime ja on politsei poolt tagaotsitav .;59;73;politsei poolt;free;yes;free;Mehest , kes , nagu hiljem selgus , kasutas valenime ja on tagaotsitav .;64.3;64.3;78.6
3027;Train/aja_ee200110_osa_11_ud211.conllu;Tegemist on klassikalise fotokunstiga , mis suri Eestis välja pärast kapitalismi taaskehtestamist .;62;97;pärast kapitalismi taaskehtestamist;free;yes;free;Tegemist on klassikalise fotokunstiga , mis suri Eestis välja .;100.0;100.0;100.0
3028;Train/ilu_maailm_ud211.conllu;"Kas te ei saa teineteisest aru ? """;14;26;teineteisest;free;yes;free;"Kas te ei saa aru ? """;100.0;100.0;100.0
3029;Train/aja_ee200110_osa_2_ud211.conllu;Viimane pingutav etteaste keskmaadistantsil pärineb juulikuust , kui ma jooksin kesklinna kõrvetavas lõõsas Narva maanteelt Mere puiesteele notarile mingit allkirja andma .;124;139;Mere puiesteele;free;yes;free;Viimane pingutav etteaste keskmaadistantsil pärineb juulikuust , kui ma jooksin kesklinna kõrvetavas lõõsas Narva maanteelt notarile mingit allkirja andma .;95.0;95.0;100.0
3030;Train/aja_pm20001004_osa_1_ud211.conllu;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib inglaste 19. sajandil ehitatud koloniaalraudteel läbi Pakistani mägede sõita .";136;184;inglaste 19. sajandil ehitatud koloniaalraudteel;free;yes;free;"Nüüd on aeg ja võimalus minna , "" ütleb tatari rahvusest julgur , kes viis aastat tagasi Tartu Raekoja kella remontis , nüüd aga soovib läbi Pakistani mägede sõita .";96.7;96.7;100.0
3031;Train/aja_luup200106_osa_4_ud211.conllu;Esimesi iseloomustab kõrge kogukondlikkus , nad võtavad omaks vanglas kehtivad reeglid ja sõnavara - keelekasutus kui märk meie mõttemaailmast .;62;69;vanglas;free;yes;free;Esimesi iseloomustab kõrge kogukondlikkus , nad võtavad omaks kehtivad reeglid ja sõnavara - keelekasutus kui märk meie mõttemaailmast .;89.5;89.5;94.7
3032;Dev/aja_ml200247_osa6_ud211.conllu;Leidnud ise selliseid , mis kunstnikusilmale huvi pakuvad , või maalinud fotode järgi , tellimise peale .;28;44;kunstnikusilmale;free;yes;free;Leidnud ise selliseid , mis huvi pakuvad , või maalinud fotode järgi , tellimise peale .;87.5;87.5;93.8
3033;Train/aja_pm20001004_osa_1_ud211.conllu;Volikogu langetaski aprilli lõpul otsuse jätta õiguskantsleri parandusettepanekud heakorraeeskirja tegemata ning mullu detsembris kinnitatud eeskiri jõusse .;20;33;aprilli lõpul;free;yes;free;Volikogu langetaski otsuse jätta õiguskantsleri parandusettepanekud heakorraeeskirja tegemata ning mullu detsembris kinnitatud eeskiri jõusse .;86.7;86.7;93.3
3034;Train/aja_sloleht20071217_ud211.conllu;Ta pakub : alusta viieminutilise jooksuga , siis käi kaks minutit reipas tempos , jookse jälle viis minutit ning jaluta jälle paar minutit - nii 45-60 minutit sõltuvalt enesetundest .;95;107;viis minutit;free;yes;free;Ta pakub : alusta viieminutilise jooksuga , siis käi kaks minutit reipas tempos , jookse jälle ning jaluta jälle paar minutit - nii 45-60 minutit sõltuvalt enesetundest .;71.4;75.0;85.7
3035;Train/aja_ee199920_osa_1_ud211.conllu;""" Ühel päeval leidsin oma toast külmkapi , see oli väga meeldiv üllatus , "" ütles Pärnamäe .";2;13;Ühel päeval;free;yes;free;""" leidsin oma toast külmkapi , see oli väga meeldiv üllatus , "" ütles Pärnamäe .";100.0;100.0;100.0
3036;Train/ilu_kivirahk_ud211.conllu;""" Ülekohtune olete , papake , oi , kui ülekohtune ! "" soigus kääbus ja vahtis Ernesaksa nii orjalikult lömitava pilguga , et Tõnul hakkas imelik .";125;130;Tõnul;free;yes;free;""" Ülekohtune olete , papake , oi , kui ülekohtune ! "" soigus kääbus ja vahtis Ernesaksa nii orjalikult lömitava pilguga , et hakkas imelik .";80.8;84.6;88.5
3037;Train/aja_luup200106_osa_2_ud211.conllu;Laanjärve sõnul on kaks peamist põhjust , miks lähiajal ei tohiks vanglakohtade arvu vähendada .;47;55;lähiajal;free;yes;free;Laanjärve sõnul on kaks peamist põhjust , miks ei tohiks vanglakohtade arvu vähendada .;64.3;64.3;71.4
3038;Train/aja_horisont2000_osa_5_ud211.conllu;Enne Merust lahkumist nägime valget kaelkirjakut veel mõnel korral .;0;21;Enne Merust lahkumist;free;yes;free;nägime valget kaelkirjakut veel mõnel korral .;100.0;100.0;100.0
3039;Dev/aja_ml200247_osa6_ud211.conllu;Lüpsjapõligi pole noore inimese jaoks hull , kui ei tülitaks KGB .;18;37;noore inimese jaoks;free;yes;free;Lüpsjapõligi pole hull , kui ei tülitaks KGB .;100.0;100.0;100.0
3040;Train/aja_sloleht20071217_ud211.conllu;Tervisesportlase peamine koormuse reguleerija on enesetunne - kui tunned end harjutust sooritades hästi ja mõnusalt , oledki endale sobiva rütmi leidnud .;125;131;endale;free;yes;free;Tervisesportlase peamine koormuse reguleerija on enesetunne - kui tunned end harjutust sooritades hästi ja mõnusalt , oledki sobiva rütmi leidnud .;95.2;100.0;95.2
3041;Train/tea_AA_05_6_ud211.conllu;Leiti ka , et liikmesriikide haridusministeeriumid on huvitatud suurema hulga vabalt kättesaadavate õpiobjektide loomisest ning nõus seda tegevust toetama [ 2 ] .;64;122;suurema hulga vabalt kättesaadavate õpiobjektide loomisest;bound;yes;free;Leiti ka , et liikmesriikide haridusministeeriumid on huvitatud ning nõus seda tegevust toetama [ 2 ] .;76.5;88.2;88.2
3042;Train/ilu_kanep_ud211.conllu;Pööran linna vasemale , kasutan ära inertsi ja juba kulgebki panoraam minu poole .;13;21;vasemale;free;yes;free;Pööran linna , kasutan ära inertsi ja juba kulgebki panoraam minu poole .;92.3;100.0;92.3
3043;Train/aja_ee200110_osa_3_ud211.conllu;Lisaks nõuab mees vastavalt Soome seadustele naiselt lapsele elatusraha 500 marka kuus .;45;52;naiselt;free;yes;free;Lisaks nõuab mees vastavalt Soome seadustele lapsele elatusraha 500 marka kuus .;100.0;100.0;100.0
3044;Train/aja_sloleht20071217_ud211.conllu;"Mu poeg mõtles paluda tema kätt , kuid loobus siis sellest , sest teadis , et abielu kahe eri usku inimese vahel ei saa olla püsiv , "" ütles isa .";51;58;sellest;free;yes;free;"Mu poeg mõtles paluda tema kätt , kuid loobus siis , sest teadis , et abielu kahe eri usku inimese vahel ei saa olla püsiv , "" ütles isa .";83.3;83.3;93.3
3045;Train/aja_pm20001004_osa_2_ud211.conllu;Teisipäeval kell 19.14 viis noorsoopolitsei turvakodusse 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta kodust välja ajanud .;124;130;kodust;free;yes;free;Teisipäeval kell 19.14 viis noorsoopolitsei turvakodusse 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta välja ajanud .;95.5;100.0;95.5
3046;Dev/aja_luup200009_ud211.conllu;Kuldtäht anti Paabule kätte 1979. aastal Moskvas .;22;27;kätte;free;yes;free;Kuldtäht anti Paabule 1979. aastal Moskvas .;100.0;100.0;100.0
3047;Train/tea_AA_05_6_ud211.conllu;Multiskalaarse arhitektuuriga protsessori kasutamisel tõstatuvad olulised küsimused : kuidas vältida või minimeerida tegumitevahelistest sõltuvustest tulenevaid jõudluspiiranguid ja kuidas otstarbekalt korraldada tegumitevahelist informatsioonivahetust ?;0;53;Multiskalaarse arhitektuuriga protsessori kasutamisel;free;yes;free;tõstatuvad olulised küsimused : kuidas vältida või minimeerida tegumitevahelistest sõltuvustest tulenevaid jõudluspiiranguid ja kuidas otstarbekalt korraldada tegumitevahelist informatsioonivahetust ?;94.7;100.0;94.7
3048;Dev/aja_epl20070812_ud211.conllu;Välisminister Urmas Paet kirjutas alla käskkirjale , mille kohaselt eraldatakse see summa välisministeeriumi eelarves arengu- ja humanitaarabiks ettenähtud vahenditest .;39;167;käskkirjale , mille kohaselt eraldatakse see summa välisministeeriumi eelarves arengu- ja humanitaarabiks ettenähtud vahenditest;bound;yes;free;Välisminister Urmas Paet kirjutas alla .;100.0;100.0;100.0
3049;Train/tea_toohoive.conllu;Analüüsi tulemusena selgus , et tööhõive andis olulisi empiirilisi seosed terve rea mõjuteguritega , mis on täielikul kujul toodud ära tabelis 10 lisas 2 .;135;145;tabelis 10;free;yes;free;Analüüsi tulemusena selgus , et tööhõive andis olulisi empiirilisi seosed terve rea mõjuteguritega , mis on täielikul kujul toodud ära lisas 2 .;;;
3050;Train/aja_luup200106_osa_1_ud211.conllu;Sageli on tegemist tüüpiliste kulutajatega , kes ühelt poolt teenivad küll korralikult , kuid ei oma märkimisväärselt sääste .;49;60;ühelt poolt;free;yes;free;Sageli on tegemist tüüpiliste kulutajatega , kes teenivad küll korralikult , kuid ei oma märkimisväärselt sääste .;100.0;100.0;100.0
3051;Train/aja_horisont2000_osa_4_ud211.conllu;Venemaa-Tšetšeenia sõda aastatel 1994-1996 on nii oluline sündmus , et sellest on mitmetes maailma keeltes kirjutatud palju raamatuid ( eesti keeles kahjuks mitte ) .;82;106;mitmetes maailma keeltes;free;yes;free;Venemaa-Tšetšeenia sõda aastatel 1994-1996 on nii oluline sündmus , et sellest on kirjutatud palju raamatuid ( eesti keeles kahjuks mitte ) .;13.6;22.7;18.2
3052;Train/ilu_kivirahk_ud211.conllu;""" Ülekohtune olete , papake , oi , kui ülekohtune ! "" soigus kääbus ja vahtis Ernesaksa nii orjalikult lömitava pilguga , et Tõnul hakkas imelik .";88;119;nii orjalikult lömitava pilguga;bound;yes;free;""" Ülekohtune olete , papake , oi , kui ülekohtune ! "" soigus kääbus ja vahtis Ernesaksa , et Tõnul hakkas imelik .";78.3;82.6;87.0
3053;Train/aja_pm20001004_osa_4_ud211.conllu;Et inimesed talle tänaval järele hõikavad või pika pilguga vaatavad , pole Uuspõllule probleemiks .;18;25;tänaval;free;yes;free;Et inimesed talle järele hõikavad või pika pilguga vaatavad , pole Uuspõllule probleemiks .;92.9;92.9;100.0
3054;Train/aja_ee199920_osa_1_ud211.conllu;Ta lisas , et 13 miljonit on väikese ettevõtte jaoks tõepoolest suur laenukoorem , kuid samas pole see summa lääne investoritele probleemiks .;29;52;väikese ettevõtte jaoks;free;yes;free;Ta lisas , et 13 miljonit on tõepoolest suur laenukoorem , kuid samas pole see summa lääne investoritele probleemiks .;95.0;100.0;95.0
3055;Train/aja_sloleht20071217_ud211.conllu;Just siis , kui selja taga aasta üks õnnetumaid mänge , kui üle poole meeskonnast kimpus müstilise kõhuviiruse või traumadega , suutsid BC Kalev/Cramo korvpallurid välja võluda hooaja parima võidu Balti liigas .;89;125;müstilise kõhuviiruse või traumadega;bound;yes;free;Just siis , kui selja taga aasta üks õnnetumaid mänge , kui üle poole meeskonnast kimpus , suutsid BC Kalev/Cramo korvpallurid välja võluda hooaja parima võidu Balti liigas .;65.5;72.4;65.5
3056;Train/aja_ml200247_osa_4_ud211.conllu;Nädalavahetus pakkus Eesti autospordile läbi aegade parima saavutuse .;40;51;läbi aegade;free;yes;free;Nädalavahetus pakkus Eesti autospordile parima saavutuse .;100.0;100.0;100.0
3057;Train/tea_toohoive.conllu;Esiteks vaatleme Eesti keskmise palga suhtelist muutumist aastatel 1991-2001 ehk seda kuidas on muutunud keskmise palga ostujõud olulisemate paigutuste lõikes .;129;158;olulisemate paigutuste lõikes;free;yes;free;Esiteks vaatleme Eesti keskmise palga suhtelist muutumist aastatel 1991-2001 ehk seda kuidas on muutunud keskmise palga ostujõud .;50.0;61.1;55.6
3058;Train/aja_sloleht20071217_ud211.conllu;""" Maailma karikas oli üks väheseid auhindu , mis mul puudus .";49;52;mul;bound;yes;free;""" Maailma karikas oli üks väheseid auhindu , mis puudus .";100.0;100.0;100.0
3059;Train/aja_ee199920_osa_1_ud211.conllu;Eesti Ekspressi otsesele küsimusele vastates välistab Mõis täielikult võimaluse , et Eesti pankade , sealhulgas Hansapanga kaudu toimus või toimub rahapesu .;0;35;Eesti Ekspressi otsesele küsimusele;free;yes;free;vastates välistab Mõis täielikult võimaluse , et Eesti pankade , sealhulgas Hansapanga kaudu toimus või toimub rahapesu .;88.9;88.9;94.4
3060;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Sellest haigusjuhust järeldub , et liialdatud kontsentreerumine kliinilises töös üksnes pahaloomulise protsessi kinnitamise/välistamise küsimusele ei toeta piisavalt teiste kopsu- ja hingamisteede haiguste õigeaegset morfoloogilist diagnostikat .;0;20;Sellest haigusjuhust;bound;yes;free;järeldub , et liialdatud kontsentreerumine kliinilises töös üksnes pahaloomulise protsessi kinnitamise/välistamise küsimusele ei toeta piisavalt teiste kopsu- ja hingamisteede haiguste õigeaegset morfoloogilist diagnostikat .;25.0;33.3;45.8
3061;Train/aja_ee199920_osa_2_ud211.conllu;29aastase juhi laip räntsatas teele sadakond meetrit pidamasaanud Scaniast eemal , meest poleks suutnud päästa mingi ime .;53;74;pidamasaanud Scaniast;free;yes;free;29aastase juhi laip räntsatas teele sadakond meetrit eemal , meest poleks suutnud päästa mingi ime .;93.8;93.8;93.8
3062;Train/aja_pm19980926e_ud211.conllu;Pühamusse sisenedes , näiteks Ayatollah Khomeini mosheetaolisse mausoleumi Teherani külje all , eraldatakse mehed naistest ning kingad tuleb anda numbri vastu iraanlasest garderoobionule .;146;158;numbri vastu;free;yes;free;Pühamusse sisenedes , näiteks Ayatollah Khomeini mosheetaolisse mausoleumi Teherani külje all , eraldatakse mehed naistest ning kingad tuleb anda iraanlasest garderoobionule .;90.9;95.5;90.9
3063;Train/aja_pm20001004_osa_2_ud211.conllu;Pühapäeval lõppenud teatrifestivalil näidati umbes tosinat Becketti-lavastust , millest mõnedki etendusid üpris tavapäratutes paikades - näiteks endises Ida-Saksa riigipangas ja koguni vangimajas .;80;87;millest;bound;yes;free;Pühapäeval lõppenud teatrifestivalil näidati umbes tosinat Becketti-lavastust , mõnedki etendusid üpris tavapäratutes paikades - näiteks endises Ida-Saksa riigipangas ja koguni vangimajas .;86.4;90.9;90.9
3064;Train/tea_toohoive.conllu;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud kõrgema sissetulekuga tuludetsiilide osas ; kogu kapitali laekumine ei väljendu üksnes rahalistes tuludes , arvesse jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";149;190;kõrgema sissetulekuga tuludetsiilide osas;free;yes;free;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud ; kogu kapitali laekumine ei väljendu üksnes rahalistes tuludes , arvesse jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";82.9;85.4;92.7
3065;Train/arborest_ud211.conllu;Raudrüüs otse võimatu havihüppega viskus Lamont talle jalgadesse .;0;8;Raudrüüs;bound;yes;free;otse võimatu havihüppega viskus Lamont talle jalgadesse .;100.0;100.0;100.0
3066;Train/aja_luup200106_osa_3_ud211.conllu;Suurriikides praktiseeritavate , kitsalt spetsialiseerunud korporatiivsete ülikoolide ( tegutsevad vahetult firmade juures ning huvides ) idee võib ka Eestis üksikjuhtudel teostatav olla .;158;171;üksikjuhtudel;free;yes;free;Suurriikides praktiseeritavate , kitsalt spetsialiseerunud korporatiivsete ülikoolide ( tegutsevad vahetult firmade juures ning huvides ) idee võib ka Eestis teostatav olla .;90.9;95.5;95.5
3067;Train/ilu_maailm_ud211.conllu;Ma ei kavatsenud sel moel kätte maksta .;17;25;sel moel;free;yes;free;Ma ei kavatsenud kätte maksta .;100.0;100.0;100.0
3068;Dev/aja_luup200009_ud211.conllu;Suuremate sissetulekute ja parema eneseteostuse otsinguil võivad uue arengu kasvusektorite ( nt biotehnoloogia ja alternatiivenergeetika ) kohalikud tippspetsialistid vähimagi süümepiinata välismaale kolida .;167;188;vähimagi süümepiinata;free;yes;free;Suuremate sissetulekute ja parema eneseteostuse otsinguil võivad uue arengu kasvusektorite ( nt biotehnoloogia ja alternatiivenergeetika ) kohalikud tippspetsialistid välismaale kolida .;100.0;100.0;100.0
3069;Train/aja_luup200202_osa_2_ud211.conllu;Emotsionaalselt mitte eriti jõuliselt , kuid üldjoontes oskab , kui tahab ja kui olukord on tema jaoks tõsine .;45;55;üldjoontes;free;yes;free;Emotsionaalselt mitte eriti jõuliselt , kuid oskab , kui tahab ja kui olukord on tema jaoks tõsine .;83.3;83.3;88.9
3070;Train/aja_horisont2000_osa_4_ud211.conllu;Nii nagu Tšetšeenia riiklikku iseseisvust ei ole rahvusvahelisel tasemel seni tunnustatud , ei ole rahvusvahelise postiorganisatsiooni ja rahvusvaheliste filatelistide organisatsioonide poolt tunnustatud ka Tšetšeenia postmarkide olemasolu .;49;72;rahvusvahelisel tasemel;free;yes;free;Nii nagu Tšetšeenia riiklikku iseseisvust ei ole seni tunnustatud , ei ole rahvusvahelise postiorganisatsiooni ja rahvusvaheliste filatelistide organisatsioonide poolt tunnustatud ka Tšetšeenia postmarkide olemasolu .;84.0;84.0;96.0
3071;Train/aja_ee200110_osa_9_ud211.conllu;Põneva kuraatoriprojektiga on lubanud selle aasta kevade lõpul esineda Ants Juske .;38;62;selle aasta kevade lõpul;free;yes;free;Põneva kuraatoriprojektiga on lubanud esineda Ants Juske .;87.5;87.5;100.0
3072;Dev/aja_luup200009_ud211.conllu;Ei kanna , aga selle firma taustal oli kummaline , et suhteliselt hea klient , kes maksis õigel ajal ja kellega polnud probleeme , suruti lihtsalt vastu seina .;90;100;õigel ajal;free;yes;free;Ei kanna , aga selle firma taustal oli kummaline , et suhteliselt hea klient , kes maksis ja kellega polnud probleeme , suruti lihtsalt vastu seina .;100.0;100.0;100.0
3073;Train/arborest_ud211.conllu;Tom oli just väljunud autost .;22;28;autost;free;yes;free;Tom oli just väljunud .;100.0;100.0;100.0
3074;Train/ilu_valton_ud211.conllu;Ja kui kukk oli käskinud , otsis ta enesele pesa .;36;43;enesele;free;yes;free;Ja kui kukk oli käskinud , otsis ta pesa .;100.0;100.0;100.0
3075;Dev/ilu_ruben_ud211.conllu;Tal on õpitud abituse sündroom : ta teab juba mitu aastat , et ta on vilets , aga tal on lihtsam , kui temaga suheldakse kui jobuga .;41;57;juba mitu aastat;free;yes;free;Tal on õpitud abituse sündroom : ta teab , et ta on vilets , aga tal on lihtsam , kui temaga suheldakse kui jobuga .;96.0;96.0;100.0
